## STRATEGY: exact
## SKIPPED: ['has_low_plasma_membrane_amount', 'has_relational_adjective', 'has_high_plasma_membrane_amount', 'has_completed', 'has_not_completed', 'seeAlso', 'lacks_part', 'lacks_plasma_membrane_part', 'immediate_transformation_of']
true_positive	11532192	1861	1882	retinal ganglion cell	cl	CL:0000740	retinal ganglion cell (,{gangliocyte, ganglion cell of retina, RGC})
true_positive	15345036	43995	44006	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	44084	44095	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	44167	44189	peritoneal macrophages	cl	CL:0000581	peritoneal macrophage (,)
true_positive	15345036	44227	44251	hematopoietic stem cells	cl	CL:0000037	hematopoietic stem cell (,{HSC, hemopoietic stem cell})
true_positive	15345036	44359	44369	macrophage	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	44373	44377	cell	cl	CL:0000000	cell (,)
true_positive	15345036	44582	44593	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	44955	44966	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	45249	45260	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	45333	45344	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	45552	45563	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	45621	45631	macrophage	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	47354	47365	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	47370	47381	fibroblasts	cl	CL:0000057	fibroblast (,)
true_positive	15345036	47502	47507	cells	cl	CL:0000000	cell (,)
true_positive	15345036	48784	48795	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	49724	49729	cells	cl	CL:0000000	cell (,)
true_positive	15345036	49778	49783	cells	cl	CL:0000000	cell (,)
true_positive	15345036	50111	50116	cells	cl	CL:0000000	cell (,)
true_positive	15345036	56212	56223	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	56910	56921	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	57290	57294	cell	cl	CL:0000000	cell (,)
true_positive	15345036	57349	57354	cells	cl	CL:0000000	cell (,)
true_positive	15345036	57419	57429	macrophage	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	57698	57703	cells	cl	CL:0000000	cell (,)
true_positive	15345036	57766	57776	Macrophage	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	57839	57850	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	57917	57922	cells	cl	CL:0000000	cell (,)
true_positive	15345036	58158	58163	cells	cl	CL:0000000	cell (,)
true_positive	15345036	58230	58235	cells	cl	CL:0000000	cell (,)
true_positive	15345036	58323	58328	cells	cl	CL:0000000	cell (,)
true_positive	15345036	58383	58388	cells	cl	CL:0000000	cell (,)
true_positive	15345036	58491	58496	cells	cl	CL:0000000	cell (,)
true_positive	15345036	58904	58909	cells	cl	CL:0000000	cell (,)
true_positive	15345036	58960	58971	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	59028	59033	Cells	cl	CL:0000000	cell (,)
true_positive	15345036	59408	59419	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	59450	59461	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	59653	59664	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	59679	59690	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	59741	59752	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	59915	59925	macrophage	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	61011	61022	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	61137	61148	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	61304	61315	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	61430	61441	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	61841	61845	cell	cl	CL:0000000	cell (,)
true_positive	15345036	62156	62160	cell	cl	CL:0000000	cell (,)
true_positive	15345036	4821	4825	cell	cl	CL:0000000	cell (,)
true_positive	15345036	6167	6175	platelet	cl	CL:0000233	platelet (,blood platelet)
true_positive	15345036	14591	14595	cell	cl	CL:0000000	cell (,)
true_positive	15345036	26430	26441	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	42593	42603	macrophage	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	46053	46057	cell	cl	CL:0000000	cell (,)
true_positive	15345036	46396	46400	cell	cl	CL:0000000	cell (,)
true_positive	15345036	49866	49870	cell	cl	CL:0000000	cell (,)
true_positive	15345036	50294	50298	cell	cl	CL:0000000	cell (,)
true_positive	15345036	50548	50552	cell	cl	CL:0000000	cell (,)
true_positive	15345036	50749	50753	cell	cl	CL:0000000	cell (,)
true_positive	15345036	59623	59628	cells	cl	CL:0000000	cell (,)
true_positive	15345036	59711	59716	cells	cl	CL:0000000	cell (,)
true_positive	15345036	62542	62547	cells	cl	CL:0000000	cell (,)
true_positive	15345036	65282	65287	cells	cl	CL:0000000	cell (,)
true_positive	15345036	66872	66886	megakaryocytes	cl	CL:0000556	megakaryocyte (,{megalocaryocyte, megacaryocyte, megalokaryocyte})
true_positive	15345036	67003	67015	erythrocytes	cl	CL:0000232	erythrocyte (,{RBC, red blood cell})
true_positive	15345036	68749	68753	cell	cl	CL:0000000	cell (,)
true_positive	15345036	68779	68790	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	69566	69576	macrophage	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	70018	70029	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	70250	70261	Macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	70407	70418	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	70464	70475	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	70673	70684	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	70730	70735	cells	cl	CL:0000000	cell (,)
true_positive	15345036	70753	70763	macrophage	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	69738	69749	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15345036	15124	15140	epithelial cells	cl	CL:0000066	epithelial cell (,)
true_positive	15492776	2942	2946	cell	cl	CL:0000000	cell (,)
true_positive	15492776	3042	3046	cell	cl	CL:0000000	cell (,)
true_positive	15492776	3148	3152	cell	cl	CL:0000000	cell (,)
true_positive	15492776	3188	3192	cell	cl	CL:0000000	cell (,)
true_positive	15492776	3327	3332	cells	cl	CL:0000000	cell (,)
true_positive	15492776	5934	5959	hypertrophic chondrocytes	cl	CL:0000743	hypertrophic chondrocyte (,)
false_positive	15492776	6077	6094	mesenchymal cells	cl	CL:0000134	mesenchymal cell (,)
true_positive	15492776	7649	7653	cell	cl	CL:0000000	cell (,)
true_positive	15492776	11134	11139	cells	cl	CL:0000000	cell (,)
true_positive	15492776	11235	11240	cells	cl	CL:0000000	cell (,)
true_positive	15492776	12750	12755	cells	cl	CL:0000000	cell (,)
true_positive	15492776	15240	15245	cells	cl	CL:0000000	cell (,)
true_positive	15492776	17849	17854	cells	cl	CL:0000000	cell (,)
true_positive	15492776	17982	17987	cells	cl	CL:0000000	cell (,)
true_positive	15492776	18042	18047	cells	cl	CL:0000000	cell (,)
true_positive	15492776	18281	18285	cell	cl	CL:0000000	cell (,)
true_positive	15492776	18344	18349	cells	cl	CL:0000000	cell (,)
true_positive	15492776	20135	20139	cell	cl	CL:0000000	cell (,)
true_positive	15492776	20149	20153	cell	cl	CL:0000000	cell (,)
true_positive	15492776	20650	20662	chondrocytes	cl	CL:0000138	chondrocyte (,)
true_positive	15492776	20874	20879	cells	cl	CL:0000000	cell (,)
true_positive	15492776	21186	21191	cells	cl	CL:0000000	cell (,)
true_positive	15492776	22238	22243	cells	cl	CL:0000000	cell (,)
true_positive	15492776	22361	22366	cells	cl	CL:0000000	cell (,)
true_positive	15492776	22727	22739	chondrocytes	cl	CL:0000138	chondrocyte (,)
true_positive	15492776	22849	22854	cells	cl	CL:0000000	cell (,)
true_positive	15492776	23063	23068	cells	cl	CL:0000000	cell (,)
true_positive	15492776	23260	23272	chondrocytes	cl	CL:0000138	chondrocyte (,)
true_positive	15492776	23287	23299	chondrocytes	cl	CL:0000138	chondrocyte (,)
true_positive	15492776	23305	23316	osteoblasts	cl	CL:0000062	osteoblast (,)
true_positive	15492776	23423	23427	cell	cl	CL:0000000	cell (,)
true_positive	15492776	23564	23575	osteoblasts	cl	CL:0000062	osteoblast (,)
true_positive	15492776	24929	24941	chondrocytes	cl	CL:0000138	chondrocyte (,)
true_positive	15492776	25250	25255	cells	cl	CL:0000000	cell (,)
true_positive	15492776	25848	25860	chondrocytes	cl	CL:0000138	chondrocyte (,)
true_positive	15492776	25968	25985	mononuclear cells	cl	CL:0000842	mononuclear cell (,)
true_positive	15492776	26013	26024	macrophages	cl	CL:0000235	macrophage (,histiocyte)
true_positive	15492776	26026	26030	cell	cl	CL:0000000	cell (,)
true_positive	15492776	26136	26147	neutrophils	cl	CL:0000775	neutrophil (,{neutrophil leucocyte, neutrophil leukocyte, neutrophilic leucocyte, neutrocyte, neutrophilic leukocyte})
true_positive	15492776	28163	28168	cells	cl	CL:0000000	cell (,)
true_positive	15492776	28822	28827	cells	cl	CL:0000000	cell (,)
true_positive	15492776	28928	28933	cells	cl	CL:0000000	cell (,)
true_positive	15492776	29132	29137	cells	cl	CL:0000000	cell (,)
true_positive	15492776	29844	29849	cells	cl	CL:0000000	cell (,)
true_positive	15492776	33702	33707	cells	cl	CL:0000000	cell (,)
true_positive	15492776	36273	36278	cells	cl	CL:0000000	cell (,)
true_positive	15492776	46325	46329	Cell	cl	CL:0000000	cell (,)
true_positive	15492776	46561	46565	Cell	cl	CL:0000000	cell (,)
true_positive	15492776	46914	46919	cells	cl	CL:0000000	cell (,)
true_positive	15492776	47008	47012	Cell	cl	CL:0000000	cell (,)
true_positive	15492776	47443	47448	cells	cl	CL:0000000	cell (,)
true_positive	15492776	22871	22881	fibroblast	cl	CL:0000057	fibroblast (,)
true_positive	15492776	25799	25803	cell	cl	CL:0000000	cell (,)
true_positive	15492776	25997	26009	synoviocytes	cl	CL:0000214	synovial cell (,)
true_positive	15492776	28991	28995	cell	cl	CL:0000000	cell (,)
true_positive	15492776	54375	54380	cells	cl	CL:0000000	cell (,)
true_positive	15492776	55244	55249	cells	cl	CL:0000000	cell (,)
true_positive	15492776	55342	55347	cells	cl	CL:0000000	cell (,)
true_positive	15492776	55681	55686	cells	cl	CL:0000000	cell (,)
true_positive	15492776	57598	57603	cells	cl	CL:0000000	cell (,)
true_positive	15492776	59050	59055	cells	cl	CL:0000000	cell (,)
true_positive	15492776	59372	59377	cells	cl	CL:0000000	cell (,)
true_positive	15492776	59774	59788	synovial cells	cl	CL:0000214	synovial cell (,)
true_positive	15492776	60018	60022	cell	cl	CL:0000000	cell (,)
true_positive	15492776	60087	60092	cells	cl	CL:0000000	cell (,)
true_positive	15492776	60231	60236	cells	cl	CL:0000000	cell (,)
true_positive	15492776	60838	60843	cells	cl	CL:0000000	cell (,)
true_positive	15492776	61026	61031	cells	cl	CL:0000000	cell (,)
true_positive	15492776	61513	61518	cells	cl	CL:0000000	cell (,)
true_positive	15492776	61570	61575	cells	cl	CL:0000000	cell (,)
true_positive	15492776	61651	61655	cell	cl	CL:0000000	cell (,)
true_positive	15492776	61946	61951	cells	cl	CL:0000000	cell (,)
false_positive	15492776	25968	25985	mononuclear cells	cl	CL:0000226	single nucleate cell (,)
true_positive	15550985	128	134	neuron	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	219	226	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	1035	1048	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	1310	1317	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	1986	1993	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	2023	2036	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	2435	2442	Neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	2620	2635	sensory neurons	cl	CL:0000101	sensory neuron (,)
true_positive	15550985	3150	3155	cells	cl	CL:0000000	cell (,)
true_positive	15550985	3259	3264	cells	cl	CL:0000000	cell (,)
true_positive	15550985	3414	3419	cells	cl	CL:0000000	cell (,)
true_positive	15550985	3502	3507	cells	cl	CL:0000000	cell (,)
true_positive	15550985	3664	3669	cells	cl	CL:0000000	cell (,)
true_positive	15550985	3900	3907	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	4129	4142	Motor Neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	5121	5134	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	5837	5849	motor neuron	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	6229	6242	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	6754	6766	motor neuron	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	6919	6932	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	7900	7905	cells	cl	CL:0000000	cell (,)
true_positive	15550985	10378	10391	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	13175	13182	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	14399	14403	cell	cl	CL:0000000	cell (,)
true_positive	15550985	15684	15696	motor neuron	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	15895	15902	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	16103	16116	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	17659	17666	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	18853	18860	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	18872	18885	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	19586	19591	cells	cl	CL:0000000	cell (,)
true_positive	15550985	19977	19990	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	20120	20133	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	20251	20264	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	20517	20530	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	20854	20867	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	20901	20914	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	20950	20955	cells	cl	CL:0000000	cell (,)
true_positive	15550985	21368	21375	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	22327	22340	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	22466	22473	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	23607	23612	cells	cl	CL:0000000	cell (,)
true_positive	15550985	26420	26425	cells	cl	CL:0000000	cell (,)
true_positive	15550985	27418	27431	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	30126	30138	Motor Neuron	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	30246	30259	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	30427	30439	motor neuron	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	30665	30677	motor neuron	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	30785	30798	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	30912	30925	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	1170	1176	neuron	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	24153	24159	neuron	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	32520	32527	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	32687	32692	cells	cl	CL:0000000	cell (,)
true_positive	15550985	32747	32752	cells	cl	CL:0000000	cell (,)
true_positive	15550985	32776	32781	cells	cl	CL:0000000	cell (,)
true_positive	15550985	32838	32843	cells	cl	CL:0000000	cell (,)
true_positive	15550985	32969	32974	cells	cl	CL:0000000	cell (,)
true_positive	15550985	33229	33236	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15550985	33264	33277	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	33527	33540	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	33911	33924	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15550985	34317	34330	motor neurons	cl	CL:0000100	motor neuron (,motoneuron)
true_positive	15588329	98	102	cell	cl	CL:0000000	cell (,)
true_positive	15588329	894	899	cells	cl	CL:0000000	cell (,)
true_positive	15588329	935	940	cells	cl	CL:0000000	cell (,)
true_positive	15588329	2446	2451	cells	cl	CL:0000000	cell (,)
true_positive	15588329	3474	3478	cell	cl	CL:0000000	cell (,)
true_positive	15588329	3974	3979	cells	cl	CL:0000000	cell (,)
true_positive	15588329	4165	4170	cells	cl	CL:0000000	cell (,)
true_positive	15588329	4234	4238	cell	cl	CL:0000000	cell (,)
true_positive	15588329	4297	4301	cell	cl	CL:0000000	cell (,)
true_positive	15588329	4487	4491	cell	cl	CL:0000000	cell (,)
true_positive	15588329	4833	4837	cell	cl	CL:0000000	cell (,)
true_positive	15588329	5046	5050	cell	cl	CL:0000000	cell (,)
true_positive	15588329	5072	5077	cells	cl	CL:0000000	cell (,)
true_positive	15588329	5212	5217	cells	cl	CL:0000000	cell (,)
true_positive	15588329	5478	5483	cells	cl	CL:0000000	cell (,)
true_positive	15588329	5514	5519	cells	cl	CL:0000000	cell (,)
true_positive	15588329	5776	5781	cells	cl	CL:0000000	cell (,)
true_positive	15588329	5828	5832	cell	cl	CL:0000000	cell (,)
true_positive	15588329	5930	5935	cells	cl	CL:0000000	cell (,)
true_positive	15588329	6034	6038	cell	cl	CL:0000000	cell (,)
true_positive	15588329	6180	6185	cells	cl	CL:0000000	cell (,)
true_positive	15588329	6268	6273	cells	cl	CL:0000000	cell (,)
true_positive	15588329	6558	6563	cells	cl	CL:0000000	cell (,)
true_positive	15588329	6698	6703	cells	cl	CL:0000000	cell (,)
true_positive	15588329	6930	6935	cells	cl	CL:0000000	cell (,)
true_positive	15588329	7031	7036	cells	cl	CL:0000000	cell (,)
true_positive	15588329	7453	7458	cells	cl	CL:0000000	cell (,)
true_positive	15588329	7511	7516	cells	cl	CL:0000000	cell (,)
true_positive	15588329	7591	7596	cells	cl	CL:0000000	cell (,)
true_positive	15588329	7633	7638	cells	cl	CL:0000000	cell (,)
true_positive	15588329	7790	7795	cells	cl	CL:0000000	cell (,)
true_positive	15588329	7886	7891	cells	cl	CL:0000000	cell (,)
true_positive	15588329	8029	8033	cell	cl	CL:0000000	cell (,)
true_positive	15588329	8054	8058	cell	cl	CL:0000000	cell (,)
true_positive	15588329	8448	8453	cells	cl	CL:0000000	cell (,)
true_positive	15588329	8565	8570	cells	cl	CL:0000000	cell (,)
true_positive	15588329	9020	9025	cells	cl	CL:0000000	cell (,)
true_positive	15588329	9310	9315	cells	cl	CL:0000000	cell (,)
true_positive	15588329	9526	9531	cells	cl	CL:0000000	cell (,)
true_positive	15588329	9624	9629	cells	cl	CL:0000000	cell (,)
true_positive	15588329	10069	10074	cells	cl	CL:0000000	cell (,)
true_positive	15588329	10517	10522	cells	cl	CL:0000000	cell (,)
true_positive	15588329	10635	10640	cells	cl	CL:0000000	cell (,)
true_positive	15588329	10776	10781	cells	cl	CL:0000000	cell (,)
true_positive	15588329	11318	11323	cells	cl	CL:0000000	cell (,)
true_positive	15588329	11582	11587	cells	cl	CL:0000000	cell (,)
true_positive	15588329	11940	11945	cells	cl	CL:0000000	cell (,)
true_positive	15588329	12280	12285	cells	cl	CL:0000000	cell (,)
true_positive	15588329	12458	12463	cells	cl	CL:0000000	cell (,)
true_positive	15588329	12687	12692	cells	cl	CL:0000000	cell (,)
true_positive	15588329	12787	12792	cells	cl	CL:0000000	cell (,)
true_positive	15588329	12833	12837	cell	cl	CL:0000000	cell (,)
true_positive	15588329	13201	13205	cell	cl	CL:0000000	cell (,)
true_positive	15588329	13523	13528	cells	cl	CL:0000000	cell (,)
true_positive	15588329	13724	13729	cells	cl	CL:0000000	cell (,)
true_positive	15588329	13799	13804	cells	cl	CL:0000000	cell (,)
true_positive	15588329	13924	13929	cells	cl	CL:0000000	cell (,)
true_positive	15588329	14046	14051	cells	cl	CL:0000000	cell (,)
true_positive	15588329	14165	14170	cells	cl	CL:0000000	cell (,)
true_positive	15588329	15081	15086	cells	cl	CL:0000000	cell (,)
true_positive	15588329	15137	15142	cells	cl	CL:0000000	cell (,)
true_positive	15588329	15251	15256	cells	cl	CL:0000000	cell (,)
true_positive	15588329	15355	15360	cells	cl	CL:0000000	cell (,)
true_positive	15588329	15464	15469	cells	cl	CL:0000000	cell (,)
true_positive	15588329	15628	15633	cells	cl	CL:0000000	cell (,)
true_positive	15588329	16087	16092	cells	cl	CL:0000000	cell (,)
true_positive	15588329	16111	16116	cells	cl	CL:0000000	cell (,)
true_positive	15588329	16128	16133	cells	cl	CL:0000000	cell (,)
true_positive	15588329	16367	16371	cell	cl	CL:0000000	cell (,)
true_positive	15588329	16552	16557	cells	cl	CL:0000000	cell (,)
true_positive	15588329	17125	17130	cells	cl	CL:0000000	cell (,)
true_positive	15588329	17308	17313	cells	cl	CL:0000000	cell (,)
true_positive	15588329	17391	17396	cells	cl	CL:0000000	cell (,)
true_positive	15588329	17627	17632	cells	cl	CL:0000000	cell (,)
true_positive	15588329	18014	18019	cells	cl	CL:0000000	cell (,)
true_positive	15588329	18160	18165	cells	cl	CL:0000000	cell (,)
true_positive	15588329	18299	18304	cells	cl	CL:0000000	cell (,)
true_positive	15588329	18435	18439	cell	cl	CL:0000000	cell (,)
true_positive	15588329	18519	18524	cells	cl	CL:0000000	cell (,)
true_positive	15588329	18610	18615	cells	cl	CL:0000000	cell (,)
true_positive	15588329	18711	18716	cells	cl	CL:0000000	cell (,)
true_positive	15588329	18946	18951	cells	cl	CL:0000000	cell (,)
true_positive	15588329	19298	19302	cell	cl	CL:0000000	cell (,)
true_positive	15588329	19396	19401	cells	cl	CL:0000000	cell (,)
true_positive	15588329	19456	19461	cells	cl	CL:0000000	cell (,)
true_positive	15588329	19849	19854	cells	cl	CL:0000000	cell (,)
true_positive	15588329	19921	19926	cells	cl	CL:0000000	cell (,)
true_positive	15588329	19952	19957	cells	cl	CL:0000000	cell (,)
true_positive	15588329	20300	20305	cells	cl	CL:0000000	cell (,)
true_positive	15588329	20411	20416	cells	cl	CL:0000000	cell (,)
true_positive	15588329	20662	20667	cells	cl	CL:0000000	cell (,)
true_positive	15588329	21024	21029	cells	cl	CL:0000000	cell (,)
true_positive	15588329	21103	21108	cells	cl	CL:0000000	cell (,)
true_positive	15588329	21161	21166	cells	cl	CL:0000000	cell (,)
true_positive	15588329	21496	21500	Cell	cl	CL:0000000	cell (,)
true_positive	15588329	21590	21595	cells	cl	CL:0000000	cell (,)
true_positive	15588329	21736	21741	cells	cl	CL:0000000	cell (,)
true_positive	15588329	21825	21830	cells	cl	CL:0000000	cell (,)
true_positive	15588329	22010	22015	cells	cl	CL:0000000	cell (,)
true_positive	15588329	22119	22124	cells	cl	CL:0000000	cell (,)
true_positive	15588329	22653	22658	cells	cl	CL:0000000	cell (,)
true_positive	15588329	22842	22847	cells	cl	CL:0000000	cell (,)
true_positive	15588329	23167	23172	cells	cl	CL:0000000	cell (,)
true_positive	15588329	23366	23371	cells	cl	CL:0000000	cell (,)
true_positive	15588329	23552	23557	cells	cl	CL:0000000	cell (,)
true_positive	15588329	24947	24952	cells	cl	CL:0000000	cell (,)
true_positive	15588329	25017	25024	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15588329	25444	25449	cells	cl	CL:0000000	cell (,)
true_positive	15588329	25618	25625	neurons	cl	CL:0000540	neuron (,nerve cell)
true_positive	15588329	25743	25748	cells	cl	CL:0000000	cell (,)
true_positive	15588329	25864	25868	cell	cl	CL:0000000	cell (,)
true_positive	15588329	27055	27059	cell	cl	CL:0000000	cell (,)
true_positive	15588329	28847	28851	cell	cl	CL:0000000	cell (,)
true_positive	15588329	28866	28870	cell	cl	CL:0000000	cell (,)
true_positive	15588329	29316	29320	cell	cl	CL:0000000	cell (,)
true_positive	15588329	29900	29905	Cells	cl	CL:0000000	cell (,)
true_positive	15588329	29978	29983	cells	cl	CL:0000000	cell (,)
true_positive	15588329	30072	30077	cells	cl	CL:0000000	cell (,)
true_positive	15588329	30111	30116	Cells	cl	CL:0000000	cell (,)
true_positive	15588329	30253	30258	cells	cl	CL:0000000	cell (,)
true_positive	15588329	30421	30425	cell	cl	CL:0000000	cell (,)
true_positive	15588329	30495	30500	cells	cl	CL:0000000	cell (,)
true_positive	15588329	30954	30959	cells	cl	CL:0000000	cell (,)
true_positive	15588329	30998	31003	cells	cl	CL:0000000	cell (,)
true_positive	15588329	31279	31284	Cells	cl	CL:0000000	cell (,)
true_positive	15588329	32173	32177	cell	cl	CL:0000000	cell (,)
true_positive	15588329	32975	32980	cells	cl	CL:0000000	cell (,)
true_positive	15588329	33766	33771	Cells	cl	CL:0000000	cell (,)
true_positive	15588329	33810	33815	cells	cl	CL:0000000	cell (,)
true_positive	15588329	34000	34005	cells	cl	CL:0000000	cell (,)
true_positive	15588329	34093	34098	cells	cl	CL:0000000	cell (,)
true_positive	15588329	35114	35118	Cell	cl	CL:0000000	cell (,)
true_positive	15588329	35202	35207	cells	cl	CL:0000000	cell (,)
true_positive	15588329	35409	35413	cell	cl	CL:0000000	cell (,)
true_positive	15588329	35753	35758	Cells	cl	CL:0000000	cell (,)
true_positive	15588329	35970	35975	Cells	cl	CL:0000000	cell (,)
true_positive	15588329	36126	36130	Cell	cl	CL:0000000	cell (,)
true_positive	15588329	36292	36296	cell	cl	CL:0000000	cell (,)
true_positive	15588329	36490	36494	cell	cl	CL:0000000	cell (,)
true_positive	15588329	36582	36587	cells	cl	CL:0000000	cell (,)
true_positive	15588329	36751	36755	cell	cl	CL:0000000	cell (,)
true_positive	15588329	882	888	neuron	cl	CL:0000540	neuron (,nerve cell)
true_positive	15588329	4277	4283	neuron	cl	CL:0000540	neuron (,nerve cell)
true_positive	15588329	5225	5231	neuron	cl	CL:0000540	neuron (,nerve cell)
true_positive	15588329	5791	5797	neuron	cl	CL:0000540	neuron (,nerve cell)
true_positive	15588329	22057	22063	neuron	cl	CL:0000540	neuron (,nerve cell)
true_positive	15588329	35794	35799	cells	cl	CL:0000000	cell (,)
true_positive	15588329	812	816	cell	cl	CL:0000000	cell (,)
true_positive	15588329	3908	3912	cell	cl	CL:0000000	cell (,)
true_positive	15588329	24463	24468	cells	cl	CL:0000000	cell (,)
true_positive	15588329	22226	22231	cells	cl	CL:0000000	cell (,)
true_positive	15630473	133	138	cells	cl	CL:0000000	cell (,)
true_positive	15630473	338	351	keratinocytes	cl	CL:0000312	keratinocyte (,)
true_positive	15630473	489	494	cells	cl	CL:0000000	cell (,)
true_positive	15630473	948	952	cell	cl	CL:0000000	cell (,)
true_positive	15630473	1081	1086	cells	cl	CL:0000000	cell (,)
true_positive	15630473	1552	1557	cells	cl	CL:0000000	cell (,)
true_positive	15630473	1723	1739	epithelial cells	cl	CL:0000066	epithelial cell (,)
